,capacity_kw,provider,pv_system_id
1883,2712.0,pvoutput.org,1883
1884,3000.0,pvoutput.org,1884
18841,4774.0,pvoutput.org,18841
1889,2904.0,pvoutput.org,1889
19018,2567.0,pvoutput.org,19018
19043,2974.0,pvoutput.org,19043
19048,7488.0,pvoutput.org,19048
19296,2559.0,pvoutput.org,19296
19321,2496.0,pvoutput.org,19321
19334,1213.0,pvoutput.org,19334
19379,3657.0,pvoutput.org,19379
19504,6000.0,pvoutput.org,19504
1962,5964.0,pvoutput.org,1962
1964,4440.0,pvoutput.org,1964
1974,2112.0,pvoutput.org,1974
19968,3633.0,pvoutput.org,19968
20046,3786.0,pvoutput.org,20046
20072,3828.0,pvoutput.org,20072
20146,5058.0,pvoutput.org,20146
2017,3228.0,pvoutput.org,2017
2018,3996.0,pvoutput.org,2018
20197,2004.0,pvoutput.org,20197
20241,4140.0,pvoutput.org,20241
20246,3636.0,pvoutput.org,20246
20351,4056.0,pvoutput.org,20351
20353,17.0,pvoutput.org,20353
20439,3012.0,pvoutput.org,20439
20471,2966.0,pvoutput.org,20471
20495,450.0,pvoutput.org,20495
20534,3024.0,pvoutput.org,20534
20582,5987.0,pvoutput.org,20582
20698,3588.0,pvoutput.org,20698
20730,2700.0,pvoutput.org,20730
20740,3088.0,pvoutput.org,20740
2078,2949.0,pvoutput.org,2078
20860,4008.0,pvoutput.org,20860
20973,5700.0,pvoutput.org,20973
2099,3228.0,pvoutput.org,2099
20990,3612.0,pvoutput.org,20990
21069,3132.0,pvoutput.org,21069
2108,4104.0,pvoutput.org,2108
21133,2004.0,pvoutput.org,21133
21153,3588.0,pvoutput.org,21153
21189,5437.0,pvoutput.org,21189
2119,4800.0,pvoutput.org,2119
21445,2508.0,pvoutput.org,21445
21537,3012.0,pvoutput.org,21537
2155,3024.0,pvoutput.org,2155
21570,3610.0,pvoutput.org,21570
21649,3850.0,pvoutput.org,21649
2173,3756.0,pvoutput.org,2173
2175,3012.0,pvoutput.org,2175
2176,5460.0,pvoutput.org,2176
2191,5569.0,pvoutput.org,2191
21988,5737.0,pvoutput.org,21988
21990,3135.0,pvoutput.org,21990
21995,4103.0,pvoutput.org,21995
22047,3816.0,pvoutput.org,22047
2213,4272.0,pvoutput.org,2213
22182,1650.0,pvoutput.org,22182
22192,2219.0,pvoutput.org,22192
22195,3672.0,pvoutput.org,22195
2221,2011.0,pvoutput.org,2221
22252,4421.0,pvoutput.org,22252
22357,2477.0,pvoutput.org,22357
2241,4908.0,pvoutput.org,2241
22455,3828.0,pvoutput.org,22455
2248,3012.0,pvoutput.org,2248
22528,3651.0,pvoutput.org,22528
2264,5052.0,pvoutput.org,2264
22655,3632.0,pvoutput.org,22655
22668,5004.0,pvoutput.org,22668
22677,3780.0,pvoutput.org,22677
2270,5922.0,pvoutput.org,2270
22778,5609.0,pvoutput.org,22778
2280,3996.0,pvoutput.org,2280
22850,5740.0,pvoutput.org,22850
2287,2760.0,pvoutput.org,2287
2290,3866.0,pvoutput.org,2290
22903,142140.0,pvoutput.org,22903
22934,3684.0,pvoutput.org,22934
23028,5016.0,pvoutput.org,23028
23049,4860.0,pvoutput.org,23049
23156,2941.0,pvoutput.org,23156
23236,3946.0,pvoutput.org,23236
2329,2033.0,pvoutput.org,2329
23332,2388.0,pvoutput.org,23332
23440,4824.0,pvoutput.org,23440
23537,2721.0,pvoutput.org,23537
23796,5364.0,pvoutput.org,23796
23803,3100.0,pvoutput.org,23803
23903,7428.0,pvoutput.org,23903
24027,4523.0,pvoutput.org,24027
24070,4067.0,pvoutput.org,24070
2420,34128.0,pvoutput.org,2420
24208,8748.0,pvoutput.org,24208
2421,2688.0,pvoutput.org,2421
24263,5127.0,pvoutput.org,24263
24268,5521.0,pvoutput.org,24268
24317,4116.0,pvoutput.org,24317
24379,4620.0,pvoutput.org,24379
24384,2064.0,pvoutput.org,24384
24408,2239.0,pvoutput.org,24408
24464,2283.0,pvoutput.org,24464
24486,3815.0,pvoutput.org,24486
24565,4141.0,pvoutput.org,24565
24599,3896.0,pvoutput.org,24599
24647,97668.0,pvoutput.org,24647
24667,1920.0,pvoutput.org,24667
24809,3354.0,pvoutput.org,24809
2484,3290.0,pvoutput.org,2484
2488,4524.0,pvoutput.org,2488
2490,375016.0,pvoutput.org,2490
24953,1252.0,pvoutput.org,24953
24983,935.0,pvoutput.org,24983
25075,3639.0,pvoutput.org,25075
25122,5818.0,pvoutput.org,25122
25217,3168.0,pvoutput.org,25217
25499,4061.0,pvoutput.org,25499
2566,4284.0,pvoutput.org,2566
25687,4161.0,pvoutput.org,25687
25724,5465.0,pvoutput.org,25724
2578,3492.0,pvoutput.org,2578
25797,4169.0,pvoutput.org,25797
25802,3464.0,pvoutput.org,25802
2581,3596.0,pvoutput.org,2581
25940,3672.0,pvoutput.org,25940
26065,3636.0,pvoutput.org,26065
26123,7180.0,pvoutput.org,26123
26146,19884.0,pvoutput.org,26146
26147,9888.0,pvoutput.org,26147
26148,4182.0,pvoutput.org,26148
26246,46.0,pvoutput.org,26246
26277,2191.0,pvoutput.org,26277
26297,37559.0,pvoutput.org,26297
26463,4208.0,pvoutput.org,26463
26558,3766.0,pvoutput.org,26558
26572,2508.0,pvoutput.org,26572
26619,4367.0,pvoutput.org,26619
2672,4064.0,pvoutput.org,2672
2696,3191.0,pvoutput.org,2696
26965,125925.0,pvoutput.org,26965
26968,3456.0,pvoutput.org,26968
27003,48084.0,pvoutput.org,27003
27032,5178.0,pvoutput.org,27032
27086,3000.0,pvoutput.org,27086
27124,3732.0,pvoutput.org,27124
2715,12864.0,pvoutput.org,2715
2717,4520.0,pvoutput.org,2717
27204,4019.0,pvoutput.org,27204
27336,3025.0,pvoutput.org,27336
27372,3381.0,pvoutput.org,27372
27404,2932.0,pvoutput.org,27404
27485,5598.0,pvoutput.org,27485
2756,3720.0,pvoutput.org,2756
27561,3.0,pvoutput.org,27561
27577,5016.0,pvoutput.org,27577
27604,693.0,pvoutput.org,27604
27649,2350.0,pvoutput.org,27649
27664,1837.0,pvoutput.org,27664
27677,2032.0,pvoutput.org,27677
27693,3508.0,pvoutput.org,27693
2775,4452.0,pvoutput.org,2775
27768,2508.0,pvoutput.org,27768
27802,3735.0,pvoutput.org,27802
27860,3712.0,pvoutput.org,27860
27901,0.0,pvoutput.org,27901
27940,3774.0,pvoutput.org,27940
28017,3580.0,pvoutput.org,28017
28021,3914.0,pvoutput.org,28021
28085,5107.0,pvoutput.org,28085
28103,4489.0,pvoutput.org,28103
28154,3696.0,pvoutput.org,28154
28164,3716.0,pvoutput.org,28164
2817,3312.0,pvoutput.org,2817
28207,24303.0,pvoutput.org,28207
28278,3851.0,pvoutput.org,28278
2829,3804.0,pvoutput.org,2829
28300,3620.0,pvoutput.org,28300
28328,3597.0,pvoutput.org,28328
28462,4676.0,pvoutput.org,28462
28551,6341.0,pvoutput.org,28551
2863,4956.0,pvoutput.org,2863
2871,3681.0,pvoutput.org,2871
28770,3748.0,pvoutput.org,28770
28805,3609.0,pvoutput.org,28805
28826,5086.0,pvoutput.org,28826
28936,3607.0,pvoutput.org,28936
28938,3636.0,pvoutput.org,28938
28989,4020.0,pvoutput.org,28989
29021,2322.0,pvoutput.org,29021
29022,4307.0,pvoutput.org,29022
29040,8400.0,pvoutput.org,29040
29058,3800.0,pvoutput.org,29058
29063,4432.0,pvoutput.org,29063
29153,1497.0,pvoutput.org,29153
29194,3620.0,pvoutput.org,29194
2920,3624.0,pvoutput.org,2920
29243,430.0,pvoutput.org,29243
29246,3983.0,pvoutput.org,29246
29273,3012.0,pvoutput.org,29273
29299,2796.0,pvoutput.org,29299
29307,3156.0,pvoutput.org,29307
29332,3593.0,pvoutput.org,29332
29361,4120.0,pvoutput.org,29361
2940,4072.0,pvoutput.org,2940
29410,3625.0,pvoutput.org,29410
2946,3802.0,pvoutput.org,2946
2947,2976.0,pvoutput.org,2947
29668,29424.0,pvoutput.org,29668
2970,4800.0,pvoutput.org,2970
29740,3696.0,pvoutput.org,29740
2976,3997.0,pvoutput.org,2976
29770,3423.0,pvoutput.org,29770
2980,5580.0,pvoutput.org,2980
29811,2799.0,pvoutput.org,29811
29907,6888.0,pvoutput.org,29907
29916,3966.0,pvoutput.org,29916
29954,2508.0,pvoutput.org,29954
2998,4043.0,pvoutput.org,2998
3014,6482.0,pvoutput.org,3014
30160,5776.0,pvoutput.org,30160
30210,4200.0,pvoutput.org,30210
30241,3091.0,pvoutput.org,30241
30244,3600.0,pvoutput.org,30244
30248,3045.0,pvoutput.org,30248
30313,3762.0,pvoutput.org,30313
3036,3335.0,pvoutput.org,3036
30434,3060.0,pvoutput.org,30434
30474,3031.0,pvoutput.org,30474
30495,11664.0,pvoutput.org,30495
30496,3910.0,pvoutput.org,30496
30582,4092.0,pvoutput.org,30582
3064,5808.0,pvoutput.org,3064
3074,3804.0,pvoutput.org,3074
30774,3628.0,pvoutput.org,30774
3079,3012.0,pvoutput.org,3079
30872,5793.0,pvoutput.org,30872
30898,3613.0,pvoutput.org,30898
30951,3632.0,pvoutput.org,30951
30962,4104.0,pvoutput.org,30962
30989,2909.0,pvoutput.org,30989
3099,2568.0,pvoutput.org,3099
31053,3810.0,pvoutput.org,31053
31056,3696.0,pvoutput.org,31056
31072,3876.0,pvoutput.org,31072
31144,4255.0,pvoutput.org,31144
31350,4586.0,pvoutput.org,31350
31469,3058.0,pvoutput.org,31469
31472,3680.0,pvoutput.org,31472
31580,2985.0,pvoutput.org,31580
31707,5088.0,pvoutput.org,31707
31753,0.0,pvoutput.org,31753
3176,4008.0,pvoutput.org,3176
31819,2000.0,pvoutput.org,31819
31850,1992.0,pvoutput.org,31850
31855,3696.0,pvoutput.org,31855
31879,498.0,pvoutput.org,31879
31953,3771.0,pvoutput.org,31953
31970,3054.0,pvoutput.org,31970
31982,4428.0,pvoutput.org,31982
31983,4032.0,pvoutput.org,31983
32012,5256.0,pvoutput.org,32012
32071,3000.0,pvoutput.org,32071
32101,8196.0,pvoutput.org,32101
32131,4164.0,pvoutput.org,32131
3220,4057.0,pvoutput.org,3220
32266,4008.0,pvoutput.org,32266
32307,1976.0,pvoutput.org,32307
32437,2651.0,pvoutput.org,32437
32498,4722.0,pvoutput.org,32498
3253,4107.0,pvoutput.org,3253
32548,3577.0,pvoutput.org,32548
32581,2724.0,pvoutput.org,32581
32622,11352.0,pvoutput.org,32622
32652,5986.0,pvoutput.org,32652
32674,1356.0,pvoutput.org,32674
32676,1310.0,pvoutput.org,32676
3286,5052.0,pvoutput.org,3286
32961,3738.0,pvoutput.org,32961
3302,3125.0,pvoutput.org,3302
33130,3201.0,pvoutput.org,33130
33242,3142.0,pvoutput.org,33242
33380,3012.0,pvoutput.org,33380
33422,3593.0,pvoutput.org,33422
